order_id,order_date,region,customer_segment,product_category,product_name,quantity,unit_price,discount,shipping_cost,sales,profit,customer_rating,returned
101577,2025-05-13 20:08:45.862931,West,Consumer,Office Supplies,Labels,6,147.5,0.0,4.53,885.0,263.97,5.0,0
100140,2023-03-18 16:31:12.936468,South,Home Office,Office Supplies,Binders,2,434.4875,0.1,4.07,1750.28,519.69,2.0,1
100110,2023-03-02 06:07:23.021510,South,Corporate,Office Supplies,Binders,1,178.28,0.0,3.99,178.28,41.84,1.0,0
100259,2023-05-22 20:57:44.932466,East,Consumer,Office Supplies,Paper,4,189.47,0.0,0.65,757.88,228.7,4.0,0
101391,2025-01-31 22:53:00.390195,West,Corporate,Office Supplies,Binders,7,327.2,0.0,11.45,2290.4,527.5375,4.0,0
101744,2025-08-13 07:37:25.722861,East,Consumer,Office Supplies,Binders,11,52.57,0.1,9.63,520.44,149.86,1.0,0
100514,2023-10-09 13:20:19.209604,South,Consumer,Furniture,Filing Cabinet,5,350.19,0.3,5.69,1225.66,140.64,5.0,0
101517,2025-04-10 23:21:06.033016,West,Consumer,Furniture,Desk,4,359.22,0.1,6.17,1293.19,139.53,2.0,0
101386,2025-01-29 05:09:02.071035,East,Corporate,Furniture,Filing Cabinet,11,116.44,0.0,2.39,1280.84,149.6,5.0,0
101058,2024-08-02 13:04:28.334167,South,Consumer,Office Supplies,Binders,10,56.67,0.0,3.56,566.7,159.79,2.0,0
101921,2025-11-18 06:34:02.221110,South,Home Office,Furniture,Bookcase,2,43.94,0.3,3.9,61.52,0.61,5.0,1
101736,2025-08-08 22:27:04.412206,West,Consumer,Office Supplies,Pens,10,115.89,0.0,1.27,1158.9,353.15,4.0,0
100471,2023-09-16 00:02:09.664832,South,Home Office,Office Supplies,Paper,9,203.8,0.0,15.54,1834.2,527.5375,4.0,0
101273,2024-11-28 07:35:16.058029,East,Corporate,Technology,Laptop,6,29.67,0.1,1.68,160.22,14.65,2.0,0
101926,2025-11-21 00:18:00.540270,South,Corporate,Technology,Printer,10,132.71,0.3,2.17,928.97,72.46,2.0,1
101544,2025-04-25 18:18:32.956478,South,Consumer,Office Supplies,Storage Box,9,297.9,0.3,2.58,1876.77,527.5375,5.0,0
101089,2024-08-19 12:37:05.912956,South,Home Office,Office Supplies,Binders,7,118.6,0.3,1.26,581.14,170.62,1.0,1
101354,2025-01-11 16:27:36.828414,West,Consumer,Technology,Tablet,7,204.12,0.3,20.295,1000.19,43.74,3.0,0
100358,2023-07-16 02:28:23.651825,South,Home Office,Office Supplies,Storage Box,7,370.17,0.15,5.07,2202.51,527.5375,1.0,0
101327,2024-12-27 21:30:09.904952,East,Home Office,Technology,Tablet,11,243.56,0.15,19.72,2277.29,156.98,3.0,0
100196,2023-04-18 08:43:42.111055,East,Consumer,Furniture,Office Chair,1,218.84,0.2,7.11,175.07,14.45,5.0,1
101682,2025-07-10 08:32:10.565282,East,Consumer,Furniture,Desk,5,297.62,0.0,2.19,1488.1,180.96,3.0,0
101691,2025-07-15 06:51:19.539769,West,Corporate,Furniture,Office Chair,4,100.64,0.0,5.89,402.56,37.73,2.0,0
100610,2023-12-01 03:24:34.937468,East,Home Office,Technology,Tablet,9,222.17,0.1,7.64,1799.58,137.95,2.0,0
100361,2023-07-17 17:54:46.643321,North,Consumer,Office Supplies,Paper,3,237.05,0.0,5.03,711.15,211.27,1.0,0
100002,2023-01-02 02:17:35.327663,West,Home Office,Technology,Laptop,1,215.8,0.0,10.8,215.8,4.75,2.0,0
100666,2023-12-31 19:37:04.112056,West,Home Office,Technology,Printer,4,155.08,0.3,4.08,434.22,32.62,4.0,0
100527,2023-10-16 16:14:38.839419,West,Home Office,Office Supplies,Labels,1,74.9,0.3,17.72,52.43,0.03,5.0,0
101117,2024-09-03 20:43:20.500250,East,Corporate,Technology,Tablet,10,291.96,0.1,6.33,2627.64,203.11,5.0,0
100702,2024-01-20 12:53:40.010005,North,Consumer,Office Supplies,Labels,7,108.58,0.0,5.56,760.06,217.14,4.0,0
100602,2023-11-26 18:14:13.626813,West,Consumer,Technology,Tablet,9,370.81,0.0,2.62,2880.0488,266.55,5.0,0
100658,2023-12-27 10:26:42.801400,East,Consumer,Office Supplies,Paper,7,39.15,0.15,15.95,232.94,55.15,5.0,0
101917,2025-11-16 01:58:51.565782,East,Corporate,Technology,Monitor,2,42.94,0.0,3.64,85.88,0.98,3.0,0
101824,2025-09-26 03:20:58.829414,East,Corporate,Office Supplies,Pens,8,38.32,0.1,5.83,275.9,74.0,4.0,0
100762,2024-02-22 09:41:19.839919,North,Consumer,Technology,Laptop,7,93.4,0.2,16.17,523.04,23.92,4.0,0
100374,2023-07-24 20:49:06.273136,North,Consumer,Office Supplies,Paper,8,132.89,0.15,6.26,903.65,260.1,5.0,0
101959,2025-12-09 02:08:13.446723,East,Consumer,Office Supplies,Labels,5,172.08,0.1,4.86,774.36,235.16,3.0,0
100672,2024-01-04 02:29:50.095047,West,Consumer,Furniture,Bookcase,3,190.53,0.1,4.95,514.43,53.85,3.0,0
101037,2024-07-22 00:59:47.393696,South,Consumer,Furniture,Bookcase,4,102.26,0.15,4.18,347.68,36.22,3.0,0
100945,2024-06-01 15:30:42.321160,North,Consumer,Technology,Tablet,4,161.84,0.15,9.46,550.26,40.5,2.0,0
100544,2023-10-25 23:44:09.124562,North,Corporate,Office Supplies,Labels,4,245.3,0.0,3.63,981.2,288.58,3.0,0
101696,2025-07-18 00:35:17.858929,North,Consumer,Furniture,Pens,5,128.7,0.3,7.12,450.45,43.11,2.0,1
